Number,Wins,Losses,Draws,Simulations,White Time,Black Time,Fen,Gap (Win / (Win + Lose))
24,0,558,29442,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
25,0,579,29421,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
""
1,0,687,34313,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
2,0,748,34252,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
3,0,702,34298,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
4,0,673,34327,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
5,0,692,34308,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
6,0,716,34284,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
7,0,709,34291,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
8,0,704,34296,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
9,0,677,34323,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
10,0,721,34279,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
11,0,687,34313,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
12,0,707,34293,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
13,0,669,34331,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
14,0,688,34312,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
15,0,691,34309,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
16,0,745,34255,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
17,0,694,34306,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
18,0,731,34269,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
19,0,735,34265,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
20,0,731,34269,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
21,0,684,34316,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
22,0,643,34357,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
23,0,704,34296,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
24,0,700,34300,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
25,0,705,34295,35000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
""
1,0,791,39209,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
2,0,782,39218,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
3,0,808,39192,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
4,0,823,39177,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
5,0,810,39190,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
6,0,782,39218,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
7,0,752,39248,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
8,0,769,39231,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
9,0,760,39240,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
10,0,817,39183,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
11,0,805,39195,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
12,0,800,39200,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
13,0,819,39181,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
14,0,761,39239,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
15,0,797,39203,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
16,0,793,39207,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
17,0,815,39185,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
18,0,865,39135,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
19,0,799,39201,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
20,0,791,39209,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
21,0,773,39227,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
22,0,815,39185,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
23,0,828,39172,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
24,0,814,39186,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
25,0,761,39239,40000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
""
1,0,864,44136,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
2,0,910,44090,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
3,0,910,44090,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
4,0,896,44104,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
5,0,869,44131,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
6,0,903,44097,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
7,0,881,44119,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
8,0,914,44086,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
9,0,913,44087,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
10,0,903,44097,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
11,0,933,44067,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
12,0,851,44149,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
13,0,923,44077,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
14,0,909,44091,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
15,0,806,44194,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
16,0,880,44120,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
17,0,932,44068,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
18,0,905,44095,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
19,0,921,44079,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
20,0,864,44136,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
21,0,935,44065,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
22,0,887,44113,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
23,0,898,44102,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
24,0,892,44108,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
25,0,920,44080,45000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
""
1,0,921,49079,50000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
2,0,993,49007,50000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
3,0,1031,48969,50000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
4,0,985,49015,50000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
5,0,986,49014,50000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
6,0,1041,48959,50000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
7,0,977,49023,50000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
8,0,1037,48963,50000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
9,0,1082,48918,50000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
10,0,942,49058,50000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
11,0,1023,48977,50000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
12,0,956,49044,50000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
13,0,964,49036,50000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
14,0,1044,48956,50000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
