Number,Wins,Losses,Draws,Simulations,White Time,Black Time,Fen,End Result
8,1360,2872,35768,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
9,1372,2798,35830,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
10,1326,2900,35774,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
11,1408,2927,35665,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
12,1375,2914,35711,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
13,1366,2940,35694,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
14,1319,2821,35860,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
15,1323,2922,35755,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
16,1229,2910,35861,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
17,1374,2887,35739,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
18,1393,2875,35732,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
19,1332,2933,35735,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
20,1396,2894,35710,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
21,1349,2871,35780,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
22,1341,2940,35719,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
