Number,Wins,Losses,Draws,Simulations,White Time,Black Time,Fen,Gap (Win / (Win + Lose))
14,353,402,39245,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
15,408,381,39211,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
16,399,387,39214,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
17,401,403,39196,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
18,377,394,39229,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
19,379,410,39211,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
20,370,354,39276,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
21,374,419,39207,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
22,397,402,39201,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
23,381,364,39255,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
24,376,385,39239,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
25,373,399,39228,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
""
1,455,445,44100,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
2,421,426,44153,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
3,425,457,44118,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
4,427,464,44109,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
5,445,474,44081,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
6,421,459,44120,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
7,407,455,44138,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
8,381,466,44153,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
9,429,392,44179,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
10,466,469,44065,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
11,433,486,44081,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
12,417,447,44136,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
13,418,435,44147,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
14,436,452,44112,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
15,428,445,44127,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
16,422,431,44147,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
17,419,504,44077,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
18,407,462,44131,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
19,446,482,44072,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
20,443,447,44110,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
21,386,446,44168,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
22,413,448,44139,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
23,443,422,44135,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
24,465,466,44069,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
25,390,414,44196,45000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
""
1,476,495,49029,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
2,456,469,49075,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
3,488,467,49045,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
4,454,508,49038,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
5,491,479,49030,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
6,510,550,48940,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
7,503,497,49000,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
8,511,472,49017,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
9,459,489,49052,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
10,501,464,49035,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
11,481,503,49016,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
12,473,460,49067,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
13,518,492,48990,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
14,471,522,49007,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
15,451,503,49046,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
16,504,519,48977,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
17,471,549,48980,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
18,491,496,49013,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
19,474,535,48991,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
20,497,474,49029,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
21,436,494,49070,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
22,443,495,49062,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
23,493,530,48977,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
24,507,481,49012,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
25,454,445,49101,50000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
""
