Number,Wins,Losses,Draws,Simulations,,p-Win,p-Lose,SE-Win,,,SE-Lose,,
21,1469,3591,44940,50000,,0.02938,0.07182,0.000755206,0.027869588,0.030890412,0.001154659,0.069510682,4.002309318
22,1430,3654,44916,50000,,0.0286,0.07308,0.000745413,0.027109174,0.030090826,0.001163953,0.070752094,4.002327906
23,1473,3716,44811,50000,,0.02946,0.07432,0.000756202,0.027947595,0.030972405,0.001173001,0.071973999,4.002346001
24,1438,3464,45098,50000,,0.02876,0.06928,0.000747434,0.027265132,0.030254868,0.001135608,0.067008784,4.002271216
25,1512,3653,44835,50000,,0.03024,0.07306,0.00076584,0.02870832,0.03177168,0.001163806,0.070732388,4.002327612
26,1524,3451,45025,50000,,0.03048,0.06902,0.000768778,0.028942444,0.032017556,0.001133633,0.066752733,4.002267267
27,1451,3566,44983,50000,,0.02902,0.07132,0.000750704,0.027518592,0.030521408,0.001150943,0.069018115,4.002301885
28,1498,3535,44967,50000,,0.02996,0.0707,0.000762396,0.028435208,0.031484792,0.001146312,0.068407377,4.002292623
29,1411,3615,44974,50000,,0.02822,0.0723,0.000740589,0.026738821,0.029701179,0.001158212,0.069983577,4.002316423
30,1531,3473,44996,50000,,0.03062,0.06946,0.000770486,0.029079028,0.032160972,0.001136972,0.067186055,4.002273945
31,1431,3689,44880,50000,,0.02862,0.07378,0.000745666,0.027128668,0.030111332,0.001169072,0.071441855,4.002338145
32,1437,3719,44844,50000,,0.02874,0.07438,0.000747182,0.027245637,0.030234363,0.001173436,0.072033128,4.002346872
33,1387,3637,44976,50000,,0.02774,0.07274,0.000734445,0.026271109,0.029208891,0.001161455,0.07041709,4.00232291
34,1532,3619,44849,50000,,0.03064,0.07238,0.000770729,0.029098541,0.032181459,0.001158802,0.070062395,4.002317605
35,1469,3573,44958,50000,,0.02938,0.07146,0.000755206,0.027869588,0.030890412,0.001151985,0.06915603,4.00230397
36,1442,3563,44995,50000,,0.02884,0.07126,0.000748442,0.027343116,0.030336884,0.001150496,0.068959009,4.002300991
37,1470,3566,44964,50000,,0.0294,0.07132,0.000755455,0.027889089,0.030910911,0.001150943,0.069018115,4.002301885
38,1490,3677,44833,50000,,0.0298,0.07354,0.00076042,0.028279159,0.031320841,0.001167321,0.071205359,4.002334641
39,1434,3660,44906,50000,,0.02868,0.0732,0.000746424,0.027187152,0.030172848,0.001164833,0.070870335,4.002329665
40,1506,3528,44966,50000,,0.03012,0.07056,0.000764366,0.028591268,0.031648732,0.001145262,0.068269475,4.002290525
41,1520,3548,44932,50000,,0.0304,0.07096,0.0007678,0.0288644,0.0319356,0.001148257,0.068663486,4.002296514
42,1382,3465,45153,50000,,0.02764,0.0693,0.000733158,0.026173684,0.029106316,0.00113576,0.067028481,4.002271519
43,1464,3527,45009,50000,,0.02928,0.07054,0.000753959,0.027772083,0.030787917,0.001145112,0.068249775,4.002290225
44,1514,3537,44949,50000,,0.03028,0.07074,0.00076633,0.028747339,0.031812661,0.001146611,0.068446778,4.002293222
45,1496,3679,44825,50000,,0.02992,0.07358,0.000761903,0.028396194,0.031443806,0.001167613,0.071244774,4.002335226
46,1522,3607,44871,50000,,0.03044,0.07214,0.000768289,0.028903422,0.031976578,0.001157029,0.069825942,4.002314058
47,1506,3558,44936,50000,,0.03012,0.07116,0.000764366,0.028591268,0.031648732,0.00114975,0.0688605,4.0022995
48,1449,3581,44970,50000,,0.02898,0.07162,0.000750202,0.027479596,0.030480404,0.001153175,0.069313651,4.002306349
,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
